ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
481276,1996,0,0,0,0,0,0,0,0,0,0
481277,1996,18,18,18,18,18,18,18,18,18,18
481278,1996,0,0,0,21,11,0,0,0,0,0
481279,1996,0,0,0,0,0,0,0,0,0,0
481280,1996,5,5,5,5,5,5,5,5,5,5
481281,1996,10,10,10,10,10,10,10,10,10,10
481282,1996,0,15,21,18,6,16,14,0,0,0
481283,1996,10,10,10,10,10,10,10,10,10,10
481284,1996,0,0,0,0,0,0,0,0,0,0
481285,1996,1,1,1,1,1,1,1,1,1,1
481286,1996,0,0,0,0,0,0,0,3,0,0
481287,1996,10,10,10,10,10,10,10,10,10,10
481288,1996,0,0,0,0,0,0,0,0,22,0
481289,1996,0,0,0,0,0,0,0,28,0,0
481290,1996,24,15,0,20,38,40,11,25,15,36
481291,1996,0,0,2,11,0,0,0,15,0,0
481292,1996,17,17,17,17,17,17,17,17,17,17
481293,1996,21,21,21,21,21,21,21,21,21,21
481294,1996,0,0,0,0,0,0,0,0,0,0
481295,1996,0,0,9,0,11,0,23,0,12,31
481296,1996,28,28,28,28,28,28,28,28,28,28
481297,1996,13,13,13,13,13,13,13,13,13,13
481298,1996,0,3,10,0,0,0,10,0,0,0
481299,1996,24,24,24,24,24,24,24,24,24,24
481300,1996,29,29,29,29,29,29,29,29,29,29
481301,1996,23,23,23,23,23,23,23,23,23,23
481302,1996,22,18,0,0,0,13,0,0,0,7
481303,1996,0,31,0,27,22,35,25,40,0,0
481304,1996,0,12,0,0,0,0,0,0,0,0
481305,1996,0,0,0,0,0,20,0,0,16,0
481306,1996,30,0,22,16,0,0,0,0,0,37
481307,1996,14,0,0,0,0,0,0,0,0,0
481308,1996,17,17,17,17,17,17,17,17,17,17
481309,1996,20,20,20,20,20,20,20,20,20,20
481310,1996,16,16,16,16,16,16,16,16,16,16
481311,1996,0,0,0,0,0,0,0,0,0,0
481312,1996,24,24,24,24,24,24,24,24,24,24
481313,1996,0,11,6,13,7,6,22,11,0,15
481314,1996,14,14,14,14,14,14,14,14,14,14
481315,1996,23,23,23,23,23,23,23,23,23,23
481316,1996,0,0,0,0,0,0,0,0,0,0
481317,1996,0,0,0,0,0,0,0,0,0,0
481318,1996,9,9,9,9,9,9,9,9,9,9
481319,1996,27,27,27,27,27,27,27,27,27,27
481320,1996,0,0,9,0,0,0,11,5,0,0
481321,1996,0,0,0,0,0,0,0,0,0,0
481322,1996,0,0,0,0,0,0,30,0,0,0
481323,1996,0,0,0,0,0,0,0,8,0,0
481324,1996,24,24,24,24,24,24,24,24,24,24
481325,1996,28,28,28,28,28,28,28,28,28,28
481326,1996,0,0,0,8,6,0,0,0,0,0
481327,1996,0,0,0,0,0,0,0,0,13,0
481328,1996,0,0,17,6,0,0,0,0,0,0
481329,1996,23,23,23,23,23,23,23,23,23,23
481330,1996,0,0,0,0,0,0,0,0,0,0
481332,1996,0,0,0,0,0,11,8,0,0,0
481333,1996,0,0,0,0,0,0,0,0,0,0
481334,1996,25,12,29,13,10,0,0,20,39,0
481335,1996,0,0,0,0,0,0,0,0,0,17
481336,1996,14,14,14,14,14,14,14,14,14,14
481337,1996,4,0,0,0,0,0,0,0,9,8
481338,1996,11,11,11,11,11,11,11,11,11,11
481339,1996,0,0,0,0,0,0,0,0,0,0
481340,1996,22,22,22,22,22,22,22,22,22,22
481341,1996,0,0,0,0,0,0,23,0,0,11
481342,1996,0,9,0,0,0,0,0,0,0,0
481343,1996,0,0,0,0,0,0,0,0,0,0
481344,1996,17,17,17,17,17,17,17,17,17,17
481345,1996,0,0,0,0,0,0,0,0,0,0
481346,1996,0,5,0,7,0,10,0,8,0,0
481347,1996,0,0,0,0,0,0,0,0,10,12
481348,1996,14,21,29,9,13,25,23,26,20,21
481349,1996,0,7,18,19,0,0,0,0,21,16
481350,1996,21,21,21,21,21,25,21,22,21,27
481351,1996,18,18,18,18,18,18,18,18,18,18
481352,1996,23,23,23,23,23,23,23,23,23,23
481353,1996,0,0,13,0,10,8,0,20,15,4
481354,1996,0,0,9,0,0,0,0,0,0,0
481355,1996,19,0,0,0,0,0,0,10,9,0
481356,1996,0,0,0,0,0,0,0,0,0,0
481357,1996,25,0,14,16,9,26,0,20,0,14
481358,1996,0,0,0,0,0,0,0,0,0,0
481359,1996,0,0,11,0,0,0,3,28,0,0
481360,1996,0,0,0,0,0,0,0,0,0,0
481361,1996,24,24,24,24,24,24,24,24,24,24
481362,1996,6,6,6,6,6,6,6,6,6,6
481363,1996,6,15,0,30,15,0,0,0,0,0
481364,1996,0,0,0,0,0,0,0,0,0,0
481365,1996,20,20,20,20,20,20,20,20,20,20
481366,1996,0,6,2,0,0,15,0,19,0,0
481367,1996,0,34,0,8,0,0,23,0,0,0
481368,1996,29,29,29,29,29,29,29,29,29,29
481369,1996,29,0,11,40,21,28,26,21,47,13
481370,1996,22,22,22,22,22,22,22,22,22,22
481371,1996,16,16,16,16,16,16,16,16,16,16
481372,1996,5,5,5,5,5,5,5,5,5,5
481373,1996,0,0,0,0,0,0,0,0,0,0
481374,1996,20,20,20,20,20,20,20,20,20,20
481375,1996,0,0,0,0,0,0,0,0,0,0
481376,1996,0,0,0,0,0,0,0,0,0,0
481377,1996,0,0,0,0,0,0,0,0,0,0
481378,1996,0,0,0,0,0,0,22,0,0,15
481379,1996,0,0,0,0,0,0,0,0,27,0
481381,1996,9,9,9,9,9,9,9,9,9,9
481382,1996,29,29,29,29,29,29,29,29,29,29
481383,1996,13,13,13,13,13,13,13,13,13,13
481384,1996,7,7,7,7,7,7,7,7,7,7
481385,1996,0,0,0,6,0,0,0,0,0,0
481386,1996,11,32,7,27,17,5,17,25,0,34
481387,1996,0,0,0,0,0,0,0,0,0,0
481388,1996,8,8,8,8,8,8,8,8,8,8
481389,1996,0,0,0,0,0,0,0,0,0,0
481390,1996,0,0,0,11,0,0,0,13,0,0
481391,1996,0,0,0,14,0,0,0,0,0,14
481393,1996,24,18,0,0,0,27,0,32,13,22
481394,1996,0,0,0,0,0,3,0,0,0,0
481395,1996,0,0,0,0,0,0,0,0,0,0
481396,1996,0,0,0,0,0,0,0,0,0,0
481397,1996,11,0,0,0,30,14,0,7,25,0
481398,1996,0,0,0,0,0,0,0,0,0,0
481399,1996,0,21,0,0,17,0,19,3,9,14
481400,1996,0,0,0,0,0,0,0,0,0,0
481401,1996,0,9,0,0,0,0,0,0,0,0
481402,1996,23,6,23,40,14,0,16,8,34,27
481403,1996,0,7,15,0,27,19,20,0,6,24
481404,1996,0,0,0,0,0,0,0,0,0,0
481405,1996,19,19,19,19,19,19,19,19,19,19
481406,1996,3,21,4,6,30,21,20,14,22,12
481407,1996,22,22,22,22,22,22,22,22,22,22
481408,1996,0,0,0,10,0,0,6,0,11,0
481409,1996,19,19,19,19,19,21,19,19,19,19
481410,1996,14,14,14,14,14,14,14,14,14,14
481411,1996,15,0,0,31,0,0,0,0,21,15
481412,1996,0,0,0,0,0,0,0,0,11,0
481413,1996,21,21,21,21,21,21,21,21,21,21
481414,1996,0,0,14,11,15,10,22,0,0,28
481415,1996,14,14,14,14,14,14,14,14,14,14
481416,1996,0,0,0,0,0,0,0,0,0,0
481417,1996,0,0,0,0,0,0,0,0,0,0
481418,1996,0,0,8,0,0,0,0,0,0,0
481419,1996,0,0,0,0,0,0,16,0,0,0
481420,1996,0,0,0,0,0,0,0,0,0,0
481421,1996,0,0,0,0,0,0,0,11,18,0
481422,1996,26,26,26,26,26,26,26,26,26,26
481423,1996,5,5,5,5,5,5,5,5,5,5
481424,1996,10,0,0,18,0,28,0,0,0,0
481425,1996,0,0,0,0,0,5,0,6,0,0
481426,1996,34,34,34,34,34,34,34,34,34,34
481427,1996,0,0,0,0,0,0,0,0,0,0
481428,1996,0,19,0,14,8,23,0,27,0,0
481429,1996,0,0,0,0,0,0,0,0,0,0
481430,1996,0,0,0,0,0,0,0,0,0,0
481431,1996,0,0,0,0,0,0,0,0,0,0
481432,1996,37,26,24,10,0,3,13,32,20,16
481433,1996,0,0,0,0,0,0,0,0,0,0
481434,1996,0,0,0,0,0,0,0,0,0,0
481435,1996,1,1,1,1,1,1,1,1,1,1
481436,1996,5,0,7,18,12,0,13,0,0,0
481437,1996,11,11,11,11,11,11,11,11,11,11
481438,1996,0,0,0,0,0,0,0,0,0,0
481439,1996,29,24,0,20,0,20,0,16,13,0
481440,1996,0,0,0,0,0,13,14,20,23,0
481441,1996,22,22,22,22,22,22,22,22,22,22
481442,1996,0,14,0,0,0,14,0,0,0,0
481443,1996,0,0,0,0,0,0,0,0,5,0
481444,1996,22,20,13,20,22,21,15,24,0,31
481445,1996,0,0,0,0,0,0,0,0,0,0
481446,1996,17,13,0,14,3,22,12,9,15,3
481447,1996,15,21,15,15,15,15,15,15,15,30
