State,Measures,Year,Values
Louisiana,Licensed drivers,2015,3357091
Maine,Licensed drivers,2015,1019879
Maryland,Licensed drivers,2015,4185752
Massachusetts,Licensed drivers,2015,5040662
Michigan,Licensed drivers,2015,7104484
Minnesota,Licensed drivers,2015,3351430
Mississippi,Licensed drivers,2015,1988396
Missouri,Licensed drivers,2015,4213302
Montana,Licensed drivers,2015,781427
Nebraska,Licensed drivers,2015,1394301
Nevada,Licensed drivers,2015,1835511
New Hampshire,Licensed drivers,2015,1074766
New Jersey,Licensed drivers,2015,6179318
New Mexico,Licensed drivers,2015,1467782
New York,Licensed drivers,2015,11689839
North Carolina,Licensed drivers,2015,7160621
North Dakota,Licensed drivers,2015,545027
Ohio,Licensed drivers,2015,7923439
Oklahoma,Licensed drivers,2015,2621733
Oregon,Licensed drivers,2015,2808548
Pennsylvania,Licensed drivers,2015,8942967
Rhode Island,Licensed drivers,2015,745470
South Carolina,Licensed drivers,2015,3683824
South Dakota,Licensed drivers,2015,655707
Tennessee,Licensed drivers,2015,4621401
Texas,Licensed drivers,2015,15879876
Utah,Licensed drivers,2015,1913564
Vermont,Licensed drivers,2015,548799
Virginia,Licensed drivers,2015,5820209
Washington,Licensed drivers,2015,5516134
West Virginia,Licensed drivers,2015,1167346.264
Wisconsin,Licensed drivers,2015,4194759
Wyoming,Licensed drivers,2015,422450
Alabama,Licensed drivers,2014,3881542
Alaska,Licensed drivers,2014,531744
Arizona,Licensed drivers,2014,4881801
Arkansas,Licensed drivers,2014,2111873
California,Licensed drivers,2014,24813346
Colorado,Licensed drivers,2014,3883362
Connecticut,Licensed drivers,2014,2542588
Delaware,Licensed drivers,2014,732349
District of Columbia,Licensed drivers,2014,419896
Florida,Licensed drivers,2014,13898347
Georgia,Licensed drivers,2014,6650434
Hawaii,Licensed drivers,2014,902639
Idaho,Licensed drivers,2014,1128497
Illinois,Licensed drivers,2014,8373565
Indiana,Licensed drivers,2014,4448099
Iowa,Licensed drivers,2014,2227950
Kansas,Licensed drivers,2014,2021271
Kentucky,Licensed drivers,2014,3004919
Louisiana,Licensed drivers,2014,3312630
Maine,Licensed drivers,2014,1018918
Maryland,Licensed drivers,2014,4142997
Massachusetts,Licensed drivers,2014,4765586
Michigan,Licensed drivers,2014,7046433
Minnesota,Licensed drivers,2014,3357468
Mississippi,Licensed drivers,2014,1977679
Missouri,Licensed drivers,2014,4295224
Montana,Licensed drivers,2014,768703
Nebraska,Licensed drivers,2014,1383693
Nevada,Licensed drivers,2014,1796443
New Hampshire,Licensed drivers,2014,1071963
New Jersey,Licensed drivers,2014,6152634
New Mexico,Licensed drivers,2014,1444857
New York,Licensed drivers,2014,11318198
North Carolina,Licensed drivers,2014,7025333
North Dakota,Licensed drivers,2014,527541
Ohio,Licensed drivers,2014,7915907
Oklahoma,Licensed drivers,2014,2451972
Oregon,Licensed drivers,2014,2785446
Pennsylvania,Licensed drivers,2014,8915641
Rhode Island,Licensed drivers,2014,748337
South Carolina,Licensed drivers,2014,3617535
South Dakota,Licensed drivers,2014,609908
Tennessee,Licensed drivers,2014,4613166
Texas,Licensed drivers,2014,15648733
Utah,Licensed drivers,2014,1425703
Vermont,Licensed drivers,2014,545312
Virginia,Licensed drivers,2014,5769063
Washington,Licensed drivers,2014,5401139
West Virginia,Licensed drivers,2014,1171906.746
Wisconsin,Licensed drivers,2014,4188194
Wyoming,Licensed drivers,2014,423987
Alabama,Licensed drivers,2013,3859403
