State,Measures,Year,Values
Arkansas,Licensed drivers,1992,1712225
California,Licensed drivers,1992,20110665
Colorado,Licensed drivers,1992,2392276
Connecticut,Licensed drivers,1992,2357607
Delaware,Licensed drivers,1992,501397
District of Columbia,Licensed drivers,1992,351675
Florida,Licensed drivers,1992,10537677
Georgia,Licensed drivers,1992,4599515
Hawaii,Licensed drivers,1992,716545
Idaho,Licensed drivers,1992,720974
Illinois,Licensed drivers,1992,7410693
Indiana,Licensed drivers,1992,3800436
Iowa,Licensed drivers,1992,1858605
Kansas,Licensed drivers,1992,1691883
Kentucky,Licensed drivers,1992,2457118
Louisiana,Licensed drivers,1992,2616830
Maine,Licensed drivers,1992,917944
Maryland,Licensed drivers,1992,3233818
Massachusetts,Licensed drivers,1992,4170038
Michigan,Licensed drivers,1992,6480686
Minnesota,Licensed drivers,1992,2625071
Mississippi,Licensed drivers,1992,1628169
Missouri,Licensed drivers,1992,3454414
Montana,Licensed drivers,1992,597037
Nebraska,Licensed drivers,1992,1128888
Nevada,Licensed drivers,1992,957421
New Hampshire,Licensed drivers,1992,850136
New Jersey,Licensed drivers,1992,5285107
New Mexico,Licensed drivers,1992,1126193
New York,Licensed drivers,1992,10359792
North Carolina,Licensed drivers,1992,4655434
North Dakota,Licensed drivers,1992,433117
Ohio,Licensed drivers,1992,9168860
Oklahoma,Licensed drivers,1992,2286983
Oregon,Licensed drivers,1992,2425710
Pennsylvania,Licensed drivers,1992,8018519
Rhode Island,Licensed drivers,1992,685201
South Carolina,Licensed drivers,1992,2399902
South Dakota,Licensed drivers,1992,498106
Tennessee,Licensed drivers,1992,3486025
Texas,Licensed drivers,1992,11437571
Utah,Licensed drivers,1992,1143000
Vermont,Licensed drivers,1992,423489
Virginia,Licensed drivers,1992,4697006
Washington,Licensed drivers,1992,3627434
West Virginia,Licensed drivers,1992,1314244
Wisconsin,Licensed drivers,1992,3542702
Wyoming,Licensed drivers,1992,342960
Alabama,Licensed drivers,1991,2937981
Alaska,Licensed drivers,1991,318000
Arizona,Licensed drivers,1991,2400002
Arkansas,Licensed drivers,1991,1720270
California,Licensed drivers,1991,19930785
Colorado,Licensed drivers,1991,2083864
Connecticut,Licensed drivers,1991,2212725
Delaware,Licensed drivers,1991,495281
District of Columbia,Licensed drivers,1991,406270
Florida,Licensed drivers,1991,9692974
Georgia,Licensed drivers,1991,4610271
Hawaii,Licensed drivers,1991,699664
Idaho,Licensed drivers,1991,711662
Illinois,Licensed drivers,1991,7359537
Indiana,Licensed drivers,1991,3453186
Iowa,Licensed drivers,1991,1856650
Kansas,Licensed drivers,1991,1780520
Kentucky,Licensed drivers,1991,2413670
Louisiana,Licensed drivers,1991,2594762
Maine,Licensed drivers,1991,888963
Maryland,Licensed drivers,1991,3213900
Massachusetts,Licensed drivers,1991,4205850
Michigan,Licensed drivers,1991,6433993
Minnesota,Licensed drivers,1991,2545936
Mississippi,Licensed drivers,1991,1924696
Missouri,Licensed drivers,1991,3732342
Montana,Licensed drivers,1991,580313
Nebraska,Licensed drivers,1991,1068695
Nevada,Licensed drivers,1991,908684
New Hampshire,Licensed drivers,1991,847564
New Jersey,Licensed drivers,1991,5659994
New Mexico,Licensed drivers,1991,1081437
New York,Licensed drivers,1991,10266741
North Carolina,Licensed drivers,1991,4547443
North Dakota,Licensed drivers,1991,425935
Ohio,Licensed drivers,1991,7470352
Oklahoma,Licensed drivers,1991,2283068
Oregon,Licensed drivers,1991,2373660
Pennsylvania,Licensed drivers,1991,7950559
Rhode Island,Licensed drivers,1991,676228
South Carolina,Licensed drivers,1991,2401642
South Dakota,Licensed drivers,1991,500564
Tennessee,Licensed drivers,1991,3393127
Texas,Licensed drivers,1991,11293184
Utah,Licensed drivers,1991,1067030
Vermont,Licensed drivers,1991,412369
Virginia,Licensed drivers,1991,4651070
Washington,Licensed drivers,1991,3490585
West Virginia,Licensed drivers,1991,1285627
Wisconsin,Licensed drivers,1991,3394428
Wyoming,Licensed drivers,1991,341023
Alabama,Licensed drivers,1990,2752590
Alaska,Licensed drivers,1990,314300
Arizona,Licensed drivers,1990,2392618
Arkansas,Licensed drivers,1990,1722021
California,Licensed drivers,1990,19845906
Colorado,Licensed drivers,1990,2043003
Connecticut,Licensed drivers,1990,2214146
Delaware,Licensed drivers,1990,484801
District of Columbia,Licensed drivers,1990,412312
Florida,Licensed drivers,1990,9231405
Georgia,Licensed drivers,1990,4478260
Hawaii,Licensed drivers,1990,677626
Idaho,Licensed drivers,1990,704184
Illinois,Licensed drivers,1990,7294732
Indiana,Licensed drivers,1990,3601354
Iowa,Licensed drivers,1990,1872486
Kansas,Licensed drivers,1990,1714507
Kentucky,Licensed drivers,1990,2401661
Louisiana,Licensed drivers,1990,2575460
Maine,Licensed drivers,1990,887042
Maryland,Licensed drivers,1990,3361936
Massachusetts,Licensed drivers,1990,4229311
Michigan,Licensed drivers,1990,6440390
Minnesota,Licensed drivers,1990,2528941
Mississippi,Licensed drivers,1990,1884544
Missouri,Licensed drivers,1990,3688081
Montana,Licensed drivers,1990,603614.38
Nebraska,Licensed drivers,1990,1088677
Nevada,Licensed drivers,1990,846410
New Hampshire,Licensed drivers,1990,843470
New Jersey,Licensed drivers,1990,5584727
New Mexico,Licensed drivers,1990,1073816
New York,Licensed drivers,1990,10254229
North Carolina,Licensed drivers,1990,4550644
North Dakota,Licensed drivers,1990,424898
Ohio,Licensed drivers,1990,7427409
Oklahoma,Licensed drivers,1990,2277540
Oregon,Licensed drivers,1990,2211550.54
Pennsylvania,Licensed drivers,1990,7899052
Rhode Island,Licensed drivers,1990,670651
South Carolina,Licensed drivers,1990,2372825
South Dakota,Licensed drivers,1990,492378
Tennessee,Licensed drivers,1990,3334425
Texas,Licensed drivers,1990,11136694
Utah,Licensed drivers,1990,1046106
Vermont,Licensed drivers,1990,411920
Virginia,Licensed drivers,1990,4388805
Washington,Licensed drivers,1990,3376671
West Virginia,Licensed drivers,1990,1283703
Wisconsin,Licensed drivers,1990,3327872
Wyoming,Licensed drivers,1990,333546
