ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10185,1,1,1991,0,0,9,16,0,26,15,0,0,0
10186,1,1,1991,0,0,0,0,0,0,0,0,0,0
10187,1,1,1991,0,0,0,0,0,0,0,0,0,0
10187,2,1,1991,0,22,18,33,12,0,14,0,28,0
10188,1,1,1991,0,0,0,0,0,0,0,0,0,0
10188,2,1,1991,24,10,0,11,11,0,27,24,0,15
10189,1,1,1991,0,0,0,0,0,0,0,0,0,0
10190,1,1,1991,0,0,0,0,0,0,0,0,0,0
10190,2,1,1991,0,0,0,0,0,5,0,0,0,0
10191,1,1,1991,32,32,32,32,32,32,32,32,32,32
10191,2,1,1991,0,0,0,0,0,0,0,0,0,0
10192,1,1,1991,14,14,14,14,14,14,14,14,14,14
10193,1,1,1991,16,16,16,16,16,16,16,16,16,16
10194,1,1,1991,0,0,0,0,0,0,0,0,0,0
10195,1,1,1991,31,31,31,31,31,31,31,31,31,31
10196,0,1,1991,0,0,0,0,0,0,0,0,0,0
10196,1,1,1991,0,0,0,0,0,0,0,0,0,0
10197,1,1,1991,25,25,25,25,25,25,25,25,25,25
10198,1,1,1991,0,0,0,0,0,0,0,0,0,0
10198,2,1,1991,0,0,0,0,0,0,0,0,0,0
10199,1,1,1991,23,9,28,10,21,17,26,21,19,22
10200,1,1,1991,14,14,14,14,14,14,14,14,14,14
10200,2,1,1991,0,0,0,0,0,0,0,0,0,0
10201,0,1,1991,0,0,12,0,0,0,0,0,4,0
10201,1,1,1991,0,0,0,0,0,0,0,12,0,0
10202,1,1,1991,0,0,0,0,0,0,0,0,0,0
10202,2,1,1991,0,0,0,0,0,0,0,0,0,0
10203,0,1,1991,43,43,43,43,43,43,43,43,43,43
10203,1,1,1991,0,0,0,0,0,0,0,0,0,0
10204,1,1,1991,0,0,0,0,0,0,0,0,0,0
10204,2,1,1991,0,0,0,0,0,0,0,0,0,0
10205,1,1,1991,0,0,0,0,0,0,0,0,0,0
10206,1,1,1991,0,0,10,0,8,0,0,0,0,0
10207,1,1,1991,0,0,0,0,0,0,0,0,0,28
10207,2,1,1991,0,0,0,0,0,0,0,0,0,9
10207,3,1,1991,0,0,0,0,0,0,8,0,0,0
10208,1,1,1991,0,0,0,0,0,24,0,0,0,0
10209,1,1,1991,0,0,0,0,0,0,0,0,0,0
10209,2,1,1991,0,0,5,33,0,0,0,0,0,17
10210,1,1,1991,6,13,20,12,18,11,7,8,21,3
10211,1,1,1991,22,25,12,14,13,12,9,20,14,12
10212,0,1,1991,0,0,0,0,0,0,0,0,0,0
10212,1,1,1991,0,0,0,0,0,0,0,0,0,0
10213,1,1,1991,24,20,0,25,18,4,22,0,10,12
10214,1,1,1991,18,14,26,16,6,27,8,12,20,0
10215,1,1,1991,0,21,28,0,14,0,9,16,19,8
10216,1,1,1991,14,19,23,13,0,7,14,19,13,0
10217,1,1,1991,9,9,9,9,9,9,9,9,9,9
10218,1,1,1991,0,0,0,0,0,0,0,0,0,0
10219,0,1,1991,0,0,0,0,0,0,0,0,0,0
10219,1,1,1991,0,0,0,0,0,0,0,0,18,0
10220,1,1,1991,0,0,0,0,0,0,0,0,0,0
10220,2,1,1991,0,0,0,0,0,0,0,0,0,0
